url,name,homepage,url_is_bad
https://seedfinder.eu/en/database/breeder/00-seeds-bank,00 Seeds Bank,http://www.00seeds.com/,FALSE
https://seedfinder.eu/en/database/breeder/0siris-genetics,0siris Genetics,https://www.instagram.com/0siris_Genetics,TRUE
https://seedfinder.eu/en/database/breeder/2-guns-and-a-guy-seed-company,2 Guns and a Guy Seed Company,https://2gunsandaguy.com,FALSE
https://seedfinder.eu/en/database/breeder/2buds-genetics,2Buds Genetics,https://www.instagram.com/notyournanasgarden/,TRUE
https://seedfinder.eu/en/database/breeder/3rd-coast-genetics,3rd Coast Genetics,https://instagram.com/maxyields,TRUE
https://seedfinder.eu/en/database/breeder/3rd-shift-genetics,3rd Shift Genetics,https://www.instagram.com/3rdshiftgenetics/,TRUE
https://seedfinder.eu/en/database/breeder/3thirteen-seeds,3thirteen Seeds,https://phenohunter.org/index.php?forums/3thirteen-seeds.86/,FALSE
https://seedfinder.eu/en/database/breeder/3x3me,3x3me,https://www.instagram.com/3x3me/,TRUE
https://seedfinder.eu/en/database/breeder/420-seeds,4:20 Seeds,http://420-seeds.org/,TRUE
https://seedfinder.eu/en/database/breeder/4c-zen-genetics,4c_zen Genetics,http://www.4czen.com,TRUE
https://seedfinder.eu/en/database/breeder/4smashed20,4smashed20,https://www.instagram.com/4smashed20/,TRUE
https://seedfinder.eu/en/database/breeder/5-pack-genetics,5 Pack Genetics,https://www.instagram.com/5packgenetics,TRUE
https://seedfinder.eu/en/database/breeder/7-east-genetics,7 East Genetics,https://www.7eastgenetics.com,FALSE
https://seedfinder.eu/en/database/breeder/7th-green-skunk-genetics,7th Green Skunk Genetics,,TRUE
https://seedfinder.eu/en/database/breeder/11s-genetics,11s Genetics,https://11sgenetics.com,FALSE
https://seedfinder.eu/en/database/breeder/13-hills,13 Hills,https://www.instagram.com/thirteenhills/,TRUE
https://seedfinder.eu/en/database/breeder/34-street-seed-company,34 Street Seed Company,https://anccannabis.com/34-street-seed/,TRUE
https://seedfinder.eu/en/database/breeder/93-or-nothing,93orNothing,https://www.instagram.com/93ornothing/,TRUE
https://seedfinder.eu/en/database/breeder/108genetics,108Genetics,https://www.instagram.com/108genetics/,TRUE
https://seedfinder.eu/en/database/breeder/207-genetics,207 Genetics,http://207genetics.com,FALSE
https://seedfinder.eu/en/database/breeder/207-seeds,207 Seeds,http://207seeds.prophpbb.com/,TRUE
https://seedfinder.eu/en/database/breeder/210beans,210Beans,https://www.instagram.com/210beans/,TRUE
https://seedfinder.eu/en/database/breeder/303-seeds,303 Seeds,http://www.303seeds.com/,TRUE
https://seedfinder.eu/en/database/breeder/360grow420-genetics,360grow420 Genetics,https://www.instagram.com/360grow420/,TRUE
https://seedfinder.eu/en/database/breeder/420-genetics,420 Genetics,http://www.420genetics.cl,TRUE
https://seedfinder.eu/en/database/breeder/420-seeds1,420 Seeds,http://www.420seeds.la,TRUE
https://seedfinder.eu/en/database/breeder/517-legend,517 Legend Seed Co,https://www.instagram.com/517_legend/,TRUE
https://seedfinder.eu/en/database/breeder/593-genetics,593 Genetics,www.facebook.com/593seeds,TRUE
https://seedfinder.eu/en/database/breeder/707-seed-bank,707 Seed Bank,https://707seedbank.com/,FALSE
https://seedfinder.eu/en/database/breeder/710-genetics,710 Genetics,http://www.710genetics.com/,FALSE
https://seedfinder.eu/en/database/breeder/802-genetix,802 Genetix,https://www.instagram.com/802_genetix/,TRUE
https://seedfinder.eu/en/database/breeder/808-genetics,808 Genetics,https://808genetics.com/,FALSE
https://seedfinder.eu/en/database/breeder/1522-genetics,1522 Genetics,https://www.instagram.com/1522_genetics/,TRUE
https://seedfinder.eu/en/database/breeder/1904-genetics,1904 Genetics,https://www.instagram.com/1904genetics/,TRUE
https://seedfinder.eu/en/database/breeder/a-b-seeds,A-B-Seeds,https://www.facebook.com/ABSeedscom,TRUE
https://seedfinder.eu/en/database/breeder/ab-seed-company,A.B. Seed Company,https://www.abseedcompany.com/,FALSE
https://seedfinder.eu/en/database/breeder/a1-genetics,A1 Genetics,https://Instagram.com/a1_genetics,TRUE
https://seedfinder.eu/en/database/breeder/abc-seeds,ABC Seeds,http://www.abc-seeds.at/,TRUE
https://seedfinder.eu/en/database/breeder/abf-genetics,ABF Genetics,https://www.instagram.com/abfgenetics/?hl=en,TRUE
https://seedfinder.eu/en/database/breeder/ace-seeds,ACE Seeds,http://www.aceseeds.org/,FALSE
https://seedfinder.eu/en/database/breeder/ac-genetics,AC Genetics,http://www.ac-genetics.com/,TRUE
https://seedfinder.eu/en/database/breeder/adkgrass,ADKGrass,http://adkgrass.com,FALSE
https://seedfinder.eu/en/database/breeder/ak-bean-brains,AK Bean Brains,https://www.jbcseeds.com/ak-bean-brains/,FALSE
https://seedfinder.eu/en/database/breeder/altvm,ALTVM,http://altvm.com,FALSE
https://seedfinder.eu/en/database/breeder/av3-genetics,AV3 Genetics,https://www.instagram.com/av3genetics/,TRUE
https://seedfinder.eu/en/database/breeder/abraxas-seeds,Abraxas Seeds,http://abraxasseeds.com/,FALSE
